date,Portf_1d,Portf_3d,Portf_5d,Portf_10d,Portf_20d,Portf_30d,Portf_60d,TX_1d+1,TX_10d+1,TX_20d+1,TX_30d+1,TX_60d+1
2021/10/28,-0.600533808,0.112007168,0.971531857,6.78614098,2.594123049,-1.281201679,0.336775932,-0.545838713,0.971278751,0.16551398,-2.955157207,-3.082818577
2021/10/27,-0.22192632,0.649205283,1.973236562,6.565536857,-0.155451921,-1.273605621,3.119266055,-0.193310292,3.858579701,1.278012245,-2.316248137,-2.472810532
2021/10/26,0.940860215,1.80750113,2.176870748,5.182072829,-0.77075534,0.311665183,1.945701357,0.134913186,4.614536095,-0.57658707,-2.300692497,-0.593955628
2021/10/25,-0.067159167,1.247448401,3.597122302,2.95202952,0.382280189,-1.129568106,3.40514246,0.947418285,3.837251797,-1.411057136,-1.085001451,-1.632912123
2021/10/22,0.926344329,1.292517007,3.09254558,2.548209366,1.638225256,-1.063122924,1.086218601,0.201732526,1.569735972,-2.098550725,-2.166608736,-0.453875626
2021/10/21,0.38557496,2.715247157,5.758661888,4.584120983,1.050228311,-2.468047598,0.911992704,0.243858919,0.885909254,-1.323185012,-3.260245666,-1.857567111
2021/10/20,-0.022675737,1.753981075,4.503436833,4.355029586,-1.956860129,-2.94959278,-0.406595889,-0.449997039,2.77523076,-0.514792899,-3.903749428,-2.261364958
2021/10/19,2.343931307,5.376344086,2.941176471,3.085553997,-1.716068643,-2.368828869,-0.293918155,-0.076913975,2.994267594,-2.364435195,-3.541036039,-2.975814328
2021/10/18,-0.553888761,2.133206921,-0.622693727,0.866104869,-4.562569214,-4.836572438,-1.822738665,1.058295964,3.325589925,-2.006029685,-2.413394919,-2.901131729
2021/10/15,3.536439665,1.14379085,-0.528007346,-0.161290323,-4.998903749,-3.28125,-1.365809242,-0.339649625,1.259308591,-3.452057958,-4.297322042,-3.206204063
2021/10/14,-0.80587817,-3.482472325,-1.110586011,-3.925619835,-7.554671968,-6.207978485,-4.864741987,2.298079854,-0.798013832,-3.88866617,-3.866643753,-4.419637772
2021/10/13,-1.517273576,-3.145087236,-0.142011834,-6.306906507,-7.3561704,-4.200726612,-6.431581282,0.533153573,-2.484693574,-5.945419103,-5.386700502,-7.806002023
2021/10/12,-1.199261993,1.228733459,0.140252454,-5.659546355,-4.630454141,-1.900618273,-6.80878834,-0.609087587,-4.962143273,-6.610198592,-4.962143273,-8.965132497
2021/10/8,-0.459136823,2.627218935,1.498127341,-2.496064763,-3.964562569,-0.981959351,-4.577464789,-1.25699164,-5.054360398,-4.740353931,-3.395116211,-8.900233048
2021/10/7,2.930056711,1.823281907,0.368663594,-0.887372014,-3.521594684,0.740055504,-3.47883891,-0.472883994,-3.611594203,-3.678600394,-1.980781701,-6.976614076
2021/10/6,0.165680473,-0.936329588,-2.846648301,-3.378995434,-6.743058616,-1.604278075,-5.366726297,2.12115655,-2.18969555,-4.109746298,-0.464728313,-6.50847837
2021/10/5,-1.238896681,-2.649769585,-6.173662003,-6.048476762,-6.999779881,1.489310593,-4.020899591,-0.237833882,-3.201183432,-6.498628258,-1.947974107,-8.219254937
2021/10/4,0.140449438,-1.790633609,-5.791675842,-4.657900602,-5.291122426,1.422475107,-3.278317884,0.244528671,-5.202913632,-6.345308127,1.265979127,-7.135575943
2021/10/1,-1.566820276,-5.129913391,-3.935237239,-5.382059801,-5.653710247,-1.430549146,-3.783783784,-0.962644548,-5.160018553,-5.554272517,0.177598138,-8.230014025
2021/9/30,-0.367309458,-4.426337811,-1.251422071,-4.845428634,-3.125,1.094805497,-2.362204724,-2.364485429,-4.652773769,-5.48752575,-1.107651778,-7.36399327
2021/9/29,-3.26449034,-2.046323364,-0.547945205,-3.777335984,-2.375616316,0.068917988,-3.457446809,0.558758842,-3.115514575,-3.093315003,2.032569361,-5.375321624
2021/9/28,-0.836820084,2.457337884,0.133422282,-1.119894598,2.247956403,3.232462173,0.311873468,-2.020966803,-3.548904942,-2.97595017,0.304078226,-6.006257682
2021/9/27,2.113784574,3.675799087,1.20347671,1.090828139,3.98442867,3.913043478,0.776742122,-0.705528568,-1.734104046,0,1.393645919,-2.736078853
2021/9/24,1.183162685,-1.111852346,-1.506090808,-1.506090808,1.552865951,1.114142792,-1.788869258,0.243478261,0.330722367,1.747572816,0.786850848,-2.006120367
2021/9/23,0.342465753,-2.050367729,-3.63955273,-2.657807309,1.64199815,-0.677966102,-1.74379611,0.995316159,-0.069516858,1.691917703,0.460078039,-2.624894157
2021/9/22,-2.60173449,-2.990033223,-3.247183565,-3.481710004,1.836782144,-1.484480432,-1.639344262,1.065088757,-1.963035243,1.763584366,-1.265969131,-2.561469565
2021/9/17,0.222866057,-1.403201052,-1.251646904,-1.012546775,8.023060293,0.806993948,1.192619262,-2.300844028,-3.406492913,1.29465356,-2.895886003,-3.621328771
2021/9/16,-0.620155039,-0.883587365,-0.111308994,-0.664157627,6.377430062,-0.949227373,0.96759676,0.289888683,-1.205094523,6.823936269,-0.797155474,-0.69464378
2021/9/15,-1.008550756,-0.856389987,0,-0.287102473,4.176280572,0.155279503,0.668896321,-0.432950413,-0.415704388,5.628023761,-1.675977654,-0.507614213
2021/9/14,0.75104926,1.536064114,1.018826135,1.808035714,6.242720708,1.921787709,5.213379469,-0.790332742,-0.875486381,3.718117591,-1.411416539,0.295275591
2021/9/13,-0.592885375,0.265780731,-0.242397532,1.456745854,3.99724328,1.638976201,3.238312429,0.108932462,0.022913444,5.313630881,-0.131548845,2.542870566
2021/9/10,1.380231523,0.863787375,0.242130751,3.40599455,4.401650619,4.449541284,-0.240963855,-0.177416586,0.594036565,3.99475316,-0.160274757,2.82985497
2021/9/9,-0.509413068,-1.013662406,-0.553464689,2.862376918,2.791762014,1.628959276,-2.475032566,1.380910937,1.764705882,3.182945553,1.746928318,1.281010897
2021/9/8,0,-0.61633282,-0.287102473,3.105731902,2.660300136,4.586518416,-2.124430956,-0.15641293,1.412180053,0.454624934,-0.55392072,-0.358443661
2021/9/7,-0.506831203,-0.044277175,0.78125,4.41720629,2.033898305,2.172437203,-2.693965517,-0.918379061,1.762659907,0.52996331,1.75066313,0.115995824
2021/9/6,-0.110059432,0.220848057,1.703272075,5.510346431,2.069275753,3.465572275,-1.240478781,-0.422953818,3.801239276,0.711023759,1.449950504,0.13794689
2021/9/3,0.575603277,1.40625,3.156221617,9.128032669,1.838152881,2.620284617,-1.517450683,-0.07424753,4.866938384,0.528614112,1.709103593,1.608688077
2021/9/2,-0.242932862,1.232631107,3.434852301,7.088667615,-0.286975717,2.125254352,0.444740938,1.091224018,8.126968443,0.412915066,0.585971161,2.039745906
2021/9/1,1.071428571,2.815622162,3.402603334,4.476234425,0.443655723,3.16700843,0.421379463,-0.892652781,6.06895707,-1.265534147,-0.499798931,2.104580558
2021/8/31,0.403406544,2.587588734,3.607770583,4.355928255,0.111731844,1.980423401,-1.212789416,0.108838861,4.634175548,-0.540663593,1.140112275,2.258630778
2021/8/30,1.316984559,1.895409911,3.743315508,2.504020216,0.17961383,1.432143669,-2.106186924,0.680546744,5.289505428,-0.154426905,-0.575236359,2.147454652
2021/8/27,0.847263568,1.85013876,5.789094403,0.962861073,1.009174312,-2.328675981,-3.590192644,0.984274898,3.380634391,-0.749856898,-2.557041699,1.397660819
2021/8/26,-0.274035168,1.534526854,3.532479848,-0.068649886,-1.199095023,-5.003262998,-3.427686864,1.029714622,1.393645919,-0.017469283,-4.211994421,-0.348229832
2021/8/25,1.271970398,5.188565938,1.0383018,-0.432014552,1.436182534,-3.631161972,-4.284153005,0.188645876,-0.944221018,-1.93872252,-5.698590611,-0.602409639
2021/8/24,0.534759358,2.513039355,0.722105754,-2.282485876,-2.149807649,-4.187901618,-6.102062975,1.066491897,-1.211344709,-0.011788977,-5.096788632,-0.97489784
2021/8/23,3.314917127,-0.76142132,-1.194578452,-3.261358525,-1.937984496,-3.823792487,-4.507104796,0.599376648,-2.977050697,-2.265183719,-6.071968213,-1.346029507
2021/8/20,-1.303935514,-3.028185418,-4.562127464,-6.680116566,-5.96340637,-5.429350295,-5.750509396,3.032174396,-4.136980005,-3.011277758,-6.395870736,-1.061495582
2021/8/19,-2.676511306,-3.101309442,-3.47826087,-6.887417219,-4.634863215,-4.634863215,-5.531914894,-0.832874028,-7.134254746,-6.974205779,-8.296522823,-2.062416838
2021/8/18,0.955043093,-0.641907382,-1.455206912,-3.859804791,-1.253132832,-2.387387387,-2.825112108,-2.233265477,-6.914832972,-6.192910898,-8.392706872,-1.727250843
2021/8/17,-1.378359752,-1.76201373,-2.983050847,-4.067039106,-2.276348737,-3.419572553,-1.919122687,0.735826297,-4.945649081,-3.339313618,-6.326416153,0.705456738
2021/8/16,-0.206327373,-1.02319236,-2.091767881,-2.267624607,-1.045692203,-3.52393617,-1.538113549,-1.144765085,-5.170441547,-5.570110491,-7.260319946,1.75524733
2021/8/13,-0.183066362,-1.423728814,-2.219233356,0.04587156,-3.260146374,-2.829137893,0.506912442,-0.95665525,-3.995420721,-5.743509048,-6.291205721,3.16786615
2021/8/12,-0.636653024,-1.709401709,-3.53200883,-1.131221719,-4.938003045,-3.018197958,0.137488543,-1.29976103,-1.39171956,-5.528591353,-4.072962103,5.963331456
2021/8/11,-0.610169492,-1.412239408,-2.440106477,1.876302988,-3.213028169,-2.871024735,-2.048997773,-0.081532817,-1.003981305,-4.799689269,-2.77116627,7.077326343
2021/8/10,-0.472334683,-2.317880795,-1.117318436,0.135777325,-1.949922446,-1.073105298,4.847881717,-0.739927163,1.214264663,-3.933087166,-3.070843918,6.341735307
2021/8/9,-0.336247478,-1.375332742,-0.17961383,1.367989056,-0.581395349,-0.157197395,5.180979418,-0.603309584,0.733709893,-3.189881918,-1.312111358,13.33944834
2021/8/6,-1.523178808,-0.312849162,2.316513761,0.768014457,1.340299864,0.382538254,7.753623188,-0.189252738,1.17428206,-2.356373429,-0.747077274,10.34745118
2021/8/5,0.488021295,1.706331388,2.488687783,2.419172507,2.419172507,1.935193519,7.345971564,-0.598563448,0.172344459,-1.251557368,0.103335438,12.01978671
2021/8/4,0.737430168,3.394495413,4.424368775,2.711323764,1.531531532,0.512820513,4.351851852,-0.165044676,0.775550066,-1.587657784,1.188278726,11.78944685
2021/8/3,0.471486304,1.244343891,1.267255035,1.866605964,0.674915636,3.229527105,-1.431718062,0.497597804,1.689912611,-1.452607964,1.731125521,6.1307079
2021/8/2,2.155963303,3.173500116,1.550387597,1.250284155,-1.285460993,1.57354618,-6.251315513,0.080137378,-0.421460303,-2.203825931,2.677942213,1.4859531
2021/7/30,-1.357466063,-1.335143698,-1.513440253,-3.304502107,-2.873691245,-4.490690033,-6.897288063,1.729459035,-1.820838485,-2.39132864,2.994929843,1.058598947
2021/7/29,2.385916145,0.775193798,-0.067827267,-3.850337176,-1.908566356,-4.038211029,-3.282275711,-0.911661185,-4.19525802,-2.719084575,-0.457917923,1.351510859
2021/7/28,-2.308214528,-2.484752654,-1.640464798,-4.995598592,-4.659893993,-6.416648602,-9.134918964,2.157382847,-3.834202641,-1.785107106,0.196565878,3.351422267
2021/7/27,0.752393981,-0.090436355,0.591850672,-2.082871704,-1.207243461,-4.762931034,-7.687486944,-1.211203634,-5.085599194,-4.233700254,-1.606542164,0.188980098
2021/7/26,-0.92613508,-0.0683527,-0.295521709,-1.923076923,-1.504603638,-4.548422198,-12.31507397,-0.168585048,-3.895013711,-2.030920189,-1.293252098,-0.463687475
2021/7/23,0.090436355,0.77395857,-1.818585052,0.567923671,-0.382538254,-4.032083243,-7.809246147,-1.177687137,-3.48967684,-1.899059025,-0.098728149,-2.100051221
2021/7/22,0.774663933,0.545578541,-3.785077224,0,-0.472547255,-1.645541472,-7.988350322,0,-1.421452033,-0.068890292,1.44530567,-0.718644841
2021/7/21,-0.091053949,-2.661343979,-3.411091549,-1.148648649,-2.140468227,-2.661343979,-8.847352025,0.74078361,-2.345021038,0.409552377,2.617461534,-0.933356098
2021/7/20,-0.136394635,-4.437676746,-2.658985154,-1.169853768,1.337946943,-3.131201764,-6.849024597,-1.58901925,-3.090297252,0.040528022,1.105909889,-1.431831147
2021/7/19,-2.439565314,-3.191021127,-1.632379249,-2.504432624,0.319270239,-3.488372093,-3.678563608,-1.326289761,-1.789909386,3.112520554,2.738443534,1.744219737
2021/7/16,-1.91429193,-0.088632838,2.430713312,0.445533526,-1.226725082,-1.291593695,-1.636125654,-0.730822873,-0.581070511,4.905081948,4.058479532,4.003740721
2021/7/15,1.166373239,2.795169946,3.933981461,2.019529516,-0.195397308,1.65855816,-1.097246127,-0.538231051,1.540814592,3.900996986,4.033662217,4.592134438
2021/7/14,0.686904498,3.225806452,2.342342342,0.35335689,-1.495772816,-0.677595628,-0.807683912,0.828018351,2.130794514,4.191478291,5.404140835,4.059125816
2021/7/13,0.916815742,2.034817997,1.529808774,0.894254415,-2.737068966,-1.997828447,-2.674142765,0.02798142,0.897544454,3.665468043,4.343257443,3.491401772
2021/7/12,1.590186279,0.720720721,-0.886524823,0.426678644,-2.676822633,-0.710479574,-4.607508532,0.252468582,1.939642878,2.707207725,5.031446541,4.143839608
2021/7/9,-0.474790866,-0.967379078,-1.93807084,-0.945094509,-4.574029915,-0.339597012,-4.739233932,0.940083815,1.648132307,3.513560602,5.698867343,4.410989397
2021/7/8,-0.382882883,-1.97251773,-1.84198846,-0.472547255,-1.645541472,-0.940649496,-3.575321561,-0.936886396,1.372064987,2.908094877,6.798112979,4.757949692
2021/7/7,-0.112485939,-1.09155714,-1.943462898,-1.003344482,-1.530272788,-0.448430493,-3.077930583,-0.028042625,2.820719889,5.081648293,7.276119403,6.132777612
